B_T,Rxy_he2
12.87588,3.11958
12.87878,3.12043
12.88169,3.12119
12.88459,3.12186
12.88749,3.12241
12.89040,3.12285
12.89330,3.12343
12.89621,3.12358
12.89911,3.12363
12.90201,3.12357
